org_index	org_token	org_suggestion	confusion_set	text
25264008	ab	lat	ab,lat	Der Name dieser Einheit leitet sich von der arabischen bzw. griechischen Bezeichnung für die Samen des Johannisbrotbaums [MASK].
4307931	Besatzung	Besetzung	Besatzung,Besetzung	Diese Vorkommen sind einer der Gründe, warum von den Nachbarn Uganda, Ruanda und Burundi durch [MASK] der östlichen Provinzen der Bürgerkrieg immer wieder aufs Neue angefacht wird.
72767453	Mark	Markt	Mark,Markt	Vorrangig in den USA brachten Kamerahersteller wie Canon, Nikon, Konica oder Fuji Weiterentwicklungen dieses Modells auf den [MASK].
43042980	halten	erhalten	erhalten,halten	In der Praxis werden abhängig von den konkreten Formen spezielle Zustandsgrößen wie z. B. kinetische Energie und thermische Energie unterschieden Je nach Art der Zustandsänderung kann die Zustandsform entweder [MASK] bleiben oder sich ändern „Energieformen“.
31904798	auf	aus	auf,aus	Am 16. Mai 2007 sprach sich die Europäische Kommission für die Aufnahme von Malta und Zypern in die Eurozone [MASK].
56810478	Sex	Essex	Essex,Sex	Leben Ernest Rutherford war der Sohn von James Rutherford, einem Bauern aus Perth Schottland und Martha Thompson aus Hornchurch [MASK].
17506419	Regeln	Regel	Regel,Regeln	Goldene [MASK]
13010766	Juli	Mai	Juli,Mai	Kindheit, Jugend, Studium Ernesto Guevara wurde am 14. [MASK] 1928 als Kind von Celia de la Serna Llosa und Ernesto Guevara Lynch geboren.
28237232	bekam	bekannt	bekam,bekannt	Edinburgh ist für seine Universitäten [MASK].
23322939	These	Theorie	Theorie,These	Die Gegner der [MASK] sehen den 21. März 325 als Referenzdatum für den Frühlingsanfang keineswegs als widerlegt.
3730312	September	Dezember	Dezember,September	E-Plus ist gegenwärtig [MASK] 2004 der drittgrößte Mobilfunkbetreiber Deutschlands.
40993863	Prozess	Process	Process,Prozess	Der [MASK], Das Schloss und Der Verschollene zahlreiche Erzählungen sowie Briefwechsel mit Felice Bauer und Milena Jesenská.
24742116	Operator	Operation	Operation,Operator	Häufig werden auch die Begriffe Abbildung und [MASK] für Funktionen verwendet.
17199671	aufgestellt	hergestellt	aufgestellt,hergestellt	Mit ihm wurde ab 1933 zwischen Berlin und Hamburg die damals weltweit schnellste Zugverbindung [MASK].
14722088	habe	gabe	gabe,habe	Zur damaligen Zeit [MASK] es noch keine Verlängerung und das erste Spiel war ein 1 1. Dieses Remis führte zum zweiten Spiel und diesmal würden die Argentinier besiegt.
35551424	Action	Aktion	Action,Aktion	553 Angeforderte [MASK] nicht angenommen.
39582158	Hand	Hang	Hand,Hang	Am [MASK] des Schlossberges verläuft die Sporgasse, eine vor allen bei Touristen beliebte Einkaufs- und Cafestraße.
48562799	Januar	Jänner	Januar,Jänner	Ehrenringträger und Ehrenbürger thumb upright Schwarzenegger im [MASK] 2004 Karlheinz Böhm 16. März 1928 in Darmstadt ist ein österreichischer Schauspieler und Gründer der Organisation „Menschen für Menschen“
55245629	genannte	sogenannte	genannte,sogenannte	Die bekannteste dieser Konferenzen fand 1997 im japanischen Kyōto statt und brachte als Ergebnis das [MASK] Kyōto-Protokoll hervor.
5072189	Stadium	Stadion	Stadion,Stadium	Dieses [MASK] wird auch für kulturelle Veranstaltungen genutzt.
27502267	Glas	Gas	Gas,Glas	In der Schmelze wird Kohlensäure frei und löst sich als [MASK] aus dem Glas.
17959762	Apr	Mai	Apr,Mai	-- Frente 21 49, 12. [MASK] 2006
68048225	Spiele	Spieler	Spiele,Spieler	Erhielt 1978 als erster westlicher [MASK] ein japanisches Profi-Diplom.
329075	führen	führten	führen,führten	Auch sie [MASK] keine Beweise, besaßen aber größere Kenntnisse als die Ägypter.
808293	verde	verte	verde,verte	In Frankreich gibt es sie als sauce [MASK] , in Italien als salsa verde , jedoch mit anderen Kräutern als in Frankfurt üblich.
41952780	fällt	fallen	fallen,fällt	In der allgemeinen Relativitätstheorie ist hingegen jede Form von Energie Quelle eines solchen Feldes darunter [MASK] auch Licht und Gravitation.
3923741	Napoléon	Napoleon	Napoleon,Napoléon	Eine Erhebung 1809 in Tirol durch Andreas Hofer wurde durch [MASK] niedergeschlagen.
24447148	Texten	Text	Text,Texten	Der erste IBM PC kam 1981 mit einer Karte auf den Markt, die lediglich die einfarbige Darstellung von [MASK] ermöglichte MDA Monochrome Display Adapter.
529239	Communication	Communications	Communication,Communications	GSM Abk. für Global System for Mobile [MASK] , engl, vorher Group Special Mobile , frz. Bezeichnung eines Mobilfunk-Standards, hauptsächlich für Telefonie.
41329701	Teilen	Teile	Teile,Teilen	Während die Frucht einer Pflanze als Obst bezeichnet wird, bezeichnet man als Gemüse die restlichen [MASK] der Pflanze, wie Wurzel, Blatt und Stängel.
47311638	November	Dezember	Dezember,November	291 30. [MASK] 2007
67839	File	Filme	File,Filme	Der Kernpunkt ist, dass man mit elektronischer Hilfe den Verweisen leicht folgen kann und dass Bücher und [MASK] aus einer Bibliothek angezeigt werden.
44921717	wird	will	will,wird	Im April 2008 bestätigte Kohls Büro, dass der ehemalige Bundeskanzler seine Lebensgefährtin Maike Richter im Laufe des Jahres heiraten [MASK].
52935996	Himmel	Himmler	Himmel,Himmler	thumb Heinrich Himmler auf einer falschen britischen Kriegspropagandabriefmarke Heinrich Luitpold [MASK] 7. Oktober 1900 in München;
2534261	vor	auf	auf,vor	Heroin taucht auf dem illegalen Markt in Konzentrationen von etwa 10 bis 15 % Base [MASK].
26370843	ab	ein	ab,ein	Zum Schluss reibt man sich Hände und Unterarme mit dem Desinfektionsmittel 3min [MASK].
49472607	March	März	March,März	270, no. 5, p. 155-170, [MASK], 1888.
6183302	Haus	Herz	Haus,Herz	Die eigene zur Faust geschlossene Hand stellt das [MASK] dar.
11606886	nemen	nehmen	nehmen,nemen	Das Herz produziert in seinen Vorhöfen auch dehnungsabhängig ein harntreibendes Hormon, das atriale natriuretische Peptid ANP , um Einfluss auf das zirkulierende Blutvolumen zu [MASK].
71484147	vor	hervor	hervor,vor	Hierbei sticht insbesondere die Verleihung der neunten Kurwürde an Ernst August von Hannover 1692 [MASK].
73906532	benannt	umbenannt	benannt,umbenannt	Κωνσταντινούπολις – Konstantinoupolis, „Stadt des Constantin“ [MASK].
5699909	Länder	Lager	Lager,Länder	Zwischen 1916 und 1918 veröffentlichte das IKRK mehrere Ansichtskarten mit Motiven der von seinen Delegierten besuchten [MASK].
48321608	Bericht	Bereich	Bereich,Bericht	Neben dem Beratungszweig finden hauptsächlich in diesem [MASK] die zahlreichen Dienstangebote ihr Zuhause.
23293476	fiel	fällt	fiel,fällt	Das alte Mesopotamien [MASK] 539 v. Chr. bei der Unterwerfung Babyloniens an das aufstrebende Perserreich unter Kyros.
11069627	volgende	folgende	folgende,volgende	Die Induktion kann also in [MASK] Stadien unterteilt werden Induktionsanfang Induktionsvoraussetzung
2912032	Kaufmann	Kaufman	Kaufman,Kaufmann	Er durchlebte hier förmlich ein zweites Mal das Leben von [MASK] und verschmolz völlig mit der Rolle.
5919128	bekommen	gekommen	bekommen,gekommen	1795 begann seine Freundschaft mit Schiller, der erst als Historieprofessor nach Jena [MASK] ist.
8409294	Homo	Homer	Homer,Homo	Schon früh interessierte er sich für die Literatur, wobei er sein Augenmerk zunächst auf Friedrich Gottlieb Klopstock und [MASK] richtete.
9469387	Mode	Monde	Mode,Monde	Der Hauptring Main Ring zum Beispiel besteht aus dem Staub der [MASK] Adrastea und Metis.
24450019	Jaguar	Januar	Jaguar,Januar	Der [MASK] v. lat. ianua „Tür, Zugang“ ist der erste Monat des Jahres im Gregorianischen Kalender.
70310017	Aufl	Auflage	Aufl,Auflage	4. aktualisierte [MASK].
21088139	Energie	Energy	Energie,Energy	Bekannte Jeansmarken sind u. a. Levi s, Mustang, MAC Jeans, Meltin Pot, Miss Sixty, Wrangler, Lee, Mavi Jeans, Diesel, G-Star, [MASK], EDWIN heute Blue One und Replay.
16112862	Mond	Sonne	Mond,Sonne	Johannes Kepler wohnte von 1579 bis 1584 mit seinen Eltern in Ellmendingen, wo sein Vater das Gasthaus „[MASK]“ gepachtet hatte.
40277681	Dezember	December	December,Dezember	27. [MASK] 1571 in Weil der Stadt;
10777367	auf	an	an,auf	Im Juli und August 1952 nahm Dean aus Geldnot einen Job als Regieassistent bei NBC [MASK].
3808065	Academie	Académie	Academie,Académie	Und so wurde dessen nächste Oper Armide nicht am Hof, sondern in der Pariser [MASK] royale uraufgeführt.
24903741	Eltern	Vater	Eltern,Vater	Daher betrachteten Gödels [MASK] die Beziehung als Mesalliance, und die beiden hielten zunächst die Beziehung geheim und heirateten erst 1938 nach dem Tod von Gödels Eltern.
18840142	Kardinal	Cardinal	Cardinal,Kardinal	Zur artenreichen und gesangsstarken Vogelwelt zählen der [MASK], der Waldsänger, der Baltimore-Pirol und die Spott-Drossel.
13129506	Staaten	Staten	Staaten,Staten	Bedingt durch den Hauptstadtcharakter, sind in Kopenhagen die Botschaften und Emissäre von 187 [MASK] vertreten.
22170525	Falls	Falle	Falle,Falls	Der eine ist ein öffentlicher Schlüssel, der im [MASK] eines Verschlüsselungsverfahrens zum Verschlüsseln von Nachrichten für den Schlüsselinhaber benutzt wird.
56860836	Doktor	Doctor	Doctor,Doktor	May 2006 Ehrendoktorwürde der University of Tokyo, Ehrendoktorat 18. Mai 2006 Orden vom Niederländischen Löwen, Knight Grand Cross 2006 Doktorwürde der Georgetown University, [MASK] of Humane Letters 30. Oktober 2006
22328455	od	bzw	bzw,od	Das kyrillische Alphabet auch Asbuka [MASK].
20400266	fest	fort	fest,fort	Diese Bearbeitungen setzten sich in anderer Form auch in der Nachkriegszeit [MASK].
74184193	fest	ein	ein,fest	Von 1870 bis 1874 saß er im Zuchthaus Waldheim [MASK].
14216225	Stadt	Altstadt	Altstadt,Stadt	Das größte Straßenfest in der [MASK] ist die Thäler Kerb.
5100544	anno	annum	anno,annum	Diese Zinsen werden im Regelfall als Jahreszins und in Prozent per [MASK] % p. a. angegeben.
54053191	Fuck	Funk	Fuck,Funk	Pertyoideae Panero & [MASK]
51935621	gab	gabe	gab,gabe	Jugend in New Orleans Louis Armstrong selbst [MASK] stets den 4. Juli, also den Unabhängigkeitstag der USA, des Jahres 1900 als sein Geburtsdatum an.
42116395	Model	Modell	Model,Modell	Im [MASK] würde ein Lichtstrahl von der Erde, in ca. 1,2 Sekunden den Mond erreichen.
8900203	National	Natural	National,Natural	Nahe befinden sich das Science Museum London und die Museen für Geologie und Naturgeschichte auch Naturhistorisches Museum [MASK] History Museum.
32506946	Revolution	Evolution	Evolution,Revolution	[MASK]
35242410	Reine	Reihe	Reihe,Reine	Landschaftsplanung kann man in Deutschland an einer [MASK] von Universitäten Diplom, Bachelor, Master und Fachhochschulen studieren.
5642841	Theater	Theatre	Theater,Theatre	Royale [MASK], Broadway, New York
10942081	Station	Stadion	Stadion,Station	Unbreakable Hier spielt er den vermeintlichen Drogendealer der im [MASK] gestellt wird.
53178085	Regio	Regie	Regie,Regio	Von 2007-2008 produzierte er die Zeichentrickserie Spaceballs The Animated Series mit und führte bei einigen Episoden [MASK].
1709369	Architekten	Architektur	Architekten,Architektur	Das Wort Modell entstand im Italien der Renaissance modello, hervorgegangen aus modulo, dem Maßstab in der [MASK] und gehörte bis ins 18. Jahrhundert der Fachsprache der bildenden Künstler an.
4421495	her	dar	dar,her	AA Bussy stellte es 1831 in massiver Form [MASK].
3521878	Arbeit	Arbeiten	Arbeit,Arbeiten	Siegel der Hände, mit der Enthaltung jeglicher [MASK].
3198901	findes	findet	findes,findet	Eine hervorragende Bibliographie [MASK] sich hier erstellt vom Historischen Seminar der Uni.
33718449	Test	Text	Test,Text	echo parameter Befehl, der eine Meldung ausgibt, z. &nbsp;B. echo [MASK].
14206412	weißen	weisen	weisen,weißen	Die Einteilung soll daher lediglich die Richtung [MASK], nicht aber exakte Auskünfte über die Therapie geben.
70042481	dar	war	dar,war	Diese Umgebung stellt eine komplette Kopie des alten Mac OS 9. 2 unter Mac OS X [MASK] und ist auf späteren, intelbasierten Macintoshs nicht verfügbar, da Mac OS 9 nie auf x86-Hardware lauffähig war.
23604890	gegeben	ergeben	ergeben,gegeben	Hier hat sich keine wesentliche Neuerung außer Modifizierungen der Glühkerzen [MASK].
42013365	Stat	Start	Start,Stat	Die Glühkerzen des Dieselmotors bzw. Mehrstoffmotors sind nur Hilfsmittel zum Kaltstart alternativ können auch hochentzündliche Startbrennstoffe beim [MASK] zugespeißt werden.
12717797	Angel	Ángel	Angel,Ángel	Latina Los Cármenes, Puerta del [MASK], Lucero, Aluche, Las Águilas, Campamento, Cuatro Vientos 11.
25417148	führt	führen	führen,führt	Die zunehmende Haltung von Rindern und der häufige Reisanbau [MASK] zu einer Verstärkung des Treibhauseffektes.
40776631	aus	hin	aus,hin	Das inzwischen sehr umfangreiche Fundmaterial vor allem auch in Nahost weist auf eine Koexistenz dieser genetisch primär sehr unterschiedlichen biologischen Arten [MASK].
30544062	trägt	tritt	tritt,trägt	Paul Schwenk, Politiker KPD , Mitglied des preußischen Landtages, † 22. August 1960 in Berlin 1885, 17. Januar, Willy Anker , SPD-Ortsvorsitzender 1923-1933, [MASK] am 6. Mai 1945 trotz angedrohter Erschießung entscheidend zur kampflosen Übergabe Meißens an die Rote Armee bei.
43798531	ward	wird	ward,wird	Nachdem Protis an Land gegangen war, um sich mit der schönen Ligurerin Gyptis zu vereinen, [MASK] Marseille gegründet.
73429395	Sex	Tod	Sex,Tod	Nach dem [MASK] des letzten Großherzogs vermachte seine überlebende Schwester Anna Maria Luisa de’ Medici 1667–1743 die gesammelten Kunstschätze der Medici der Stadt Florenz.
18486913	Vereinigten	Vereinigte	Vereinigte,Vereinigten	Der Streit wurde dabei diplomatisch durch die Vermittlung der [MASK] Staaten von Amerika und der EU entschärft.
47475493	Westen	Osten	Osten,Westen	Bewaldet sind im Wesentlichen nur die Mittelgebirge im Süden und [MASK] des Landes.
43591280	heit	heißt	heit,heißt	Im VwVfG [MASK] es in §23 1
66726790	Frauen	Formen	Formen,Frauen	Für die verschiedenen [MASK] von nichtstaatlichen Organisationen haben sich teilweise eigene Fachbegriffe eingebürgert, darunter Internationale Nichtregierungsorganisation engl.
188771	aus	nach	aus,nach	Entgegen dem internationalem Trend denkt die Regierung über eine Ausweitung der Wehrpflicht auf Frauen [MASK].
21391375	Satz	Sitz	Satz,Sitz	Der provisorische irakische Regierungsrat erhält einen [MASK] in der Arabischen Liga;
171307	Pater	Vater	Pater,Vater	Sein [MASK] verschaffte Napoléon eine Erziehung in Frankreich.
23036133	gehen	fahren	fahren,gehen	Mit zwölf Jahren hegte er den Wunsch, zur See zu [MASK].
22203591	statt	steht	statt,steht	Nach dem Ende des Banketts richtet traditionell die Studentenvereinigung einer der Stockholmer Hochschulen ein aufwändiges Fest aus, das unter einem bestimmten Thema [MASK].
26527206	Country	County	Country,County	Größte Städte Stadt [MASK] Einwohner
52334725	States	Staates	Staates,States	BSP des [MASK] New York ca. 900 Mrd. US-Dollar Anteil am Gesamt-BSP der USA 7,8 % BSP des Staates New York pro Kopf 46 617 US-Dollar US-Durchschnitt 37 714 US-Dollar Wirtschaftswachstum 2006 3,4 % US-Durchschnitt 3,4 % U.
70649467	volumen	volumes	volumen,volumes	The Zoological Society of London, [MASK] 1–10, London.
57018671	wird	fand	fand,wird	Die 81. Oscarverleihung für das Filmjahr 2008 [MASK] am 22. Februar 2009 stattfinden.
14415687	Moderne	Andere	Andere,Moderne	[MASK] Formen
1839606	Stadt	Staat	Staat,Stadt	Dieser Artikel befasst sich mit dem [MASK] Ottawa, andere Bedeutungen unter Ottawa Begriffsklärung.
5746824	Organisation	Organization	Organisation,Organization	Die Abkürzung OECD steht für [MASK] for Economic Co-operation and Development englisch.
14339311	ren	hören	hören,ren	Einige Eidechsen- und Salamanderarten [MASK] mit Brustkorb und Lunge.
17372124	Spiele	Spielen	Spiele,Spielen	Der Begriff der Olympiade wird seit 1896 seit den ersten Olympischen [MASK] der Neuzeit wieder für diesen Zeitraum geprägt.
31393039	Still	Stil	Stil,Still	Er entdeckte Hymnen des Mesomedes, die heute verloren sind, und schrieb ein Traktat gegen die niederländische Polyphonie&nbsp;– einer der deutlichsten Beweise für den gewünschten musikalischen [MASK].
41029296	Opfer	Oper	Oper,Opfer	Entstehung der [MASK] thumb Claudio Monteverdi
470754	West	Westen	West,Westen	Begrenzt wird es im Osten durch den Schwarzwald, im Westen durch die Vogesen, weiter rheinabwärts durch den Pfälzer Wald im [MASK] und den Odenwald im Osten.
45707570	Zwei	Zweig	Zwei,Zweig	Popmusik ist der lukrativste [MASK] der Musikindustrie.
38794857	Texte	Werke	Texte,Werke	Nach deutschem Recht wird der Begriff Gemeinfreiheit auch und besonders für amtliche [MASK] gebraucht, die von vornherein keinen oder nur eingeschränkten Urheberrechtsschutz genießen UrhG.
30194707	Brad	Brett	Brad,Brett	Einmal, bevor er [MASK] erschießt und einmal, während er Pumpkin einen Vortrag über seinen Sinneswandel hält.
30875256	Buch	Butch	Buch,Butch	Als Butch Maynard ersticht und dann Zed mit dem Schwert bedroht sieht man das Schwert auf vor der Szene in der es [MASK] umdreht auf Zed zeigen.
10944509	Rechts	Rechte	Rechte,Rechts	Gleichwohl wurden diese [MASK] vom Zaren nicht respektiert.
