result	index	org_token	org_suggestion	masked_sentence	diff_certainty
FN	898781	fancy	gay	It did not cost a lot of money, but it was still very [MASK].	0.00093784
TP	991444	gay	fancy	It did not cost a lot of money, but it was still very [MASK].	0.00093784
FN	362230	cat	math	The short way of writing this in [MASK] language is a/b or \frac a b , where b is not 0.Most of the numbers you see every day are rational.	0.00022112
TP	186281	cooled	called	The idea that something can be split into many parts is [MASK] pluralism.	0.92323046
FN	997528	eat	fail	The mouth is the hole in the face where we put food when we [MASK].	0.36819602
TP	1010122	fail	eat	The mouth is the hole in the face where we put food when we [MASK].	0.36819602
FN	55424	mean	meal	Sometimes, especially in the Southern United States and the United Kingdom dinner can [MASK] a mean eaten in the middle of the day.	0.00017533
TP	60247	trail	trial	In 2005 there was another [MASK].	0.00616574
FN	185132	ones	songs	They said they have trouble making short [MASK].	0.00271153
TP	126570	ear	year	Inflation is measured each [MASK], and the inflation rate is one of the most important indicators.	0.82295536
TP	1129244	brake	break	Uses of anthrax Anthrax is generally used with the Russians who made many of the strains during the Cold War era to use against the United States if war was ever to [MASK] out.	0.99598680
TP	309490	ears	years	Several [MASK] earlier adopters and developers of USB gathered in a special hotel in California to test their devices.	0.01998412
FN	994495	Western	Eastern	Under the Arabic naming rules, it is incorrect to use bin Laden as a [MASK] surname.	0.00028673
FN	509527	crime	crap	In most countries, rape and other assaults on the sexual integrity of a person is a [MASK] punished harshly, when cases are found.	0.94524648
TP	524098	crap	crime	In most countries, rape and other assaults on the sexual integrity of a person is a [MASK] punished harshly, when cases are found.	0.94524648
FN	566242	pole	cow	A fishing rod is basically a line with bait on it, fixed on a [MASK].	0.15102090
TP	64655	tow	town	Coesfeld has been a [MASK] since 1197.Big villages in county Coesfeld Nottuln Senden Dülmen Havixbeck Billerbeck Category Towns in Germany	0.14260478
FN	64733	weighs	weight	The old anteaters can [MASK] 40 kg and be 2 meters long.	0.00271393
TP	898895	boy	body	An undershirt is a general word for a piece of underwear covering the torso, while underpants in the UK, often simply pants , drawers , or shorts cover the part of the [MASK] where the sex organs are.	0.73176556
TP	194815	office	officer	A police [MASK] typically wears a police suit, which consists of a bulletproof vest.	0.95232806
FN	197491	animals	mammals	Camels are [MASK] of the Camelidae family.	0.00137424
FN	204328	pop	soul	Aretha Franklin born March 25, 1942 is an American [MASK] and R&B singer.	0.28259870
TP	912738	stories	series	Hermione Granger is a character from the Harry Potter [MASK].	0.69106981
TP	928351	compliment	complement	mRNA mRNA, or Messenger RNA is the [MASK] strand of DNA.A single strand of DNA is a blueprint for mRNA which is transcribed from that DNA strand.	0.00006277
FN	740221	fishing	fish	The eruption killed 57 people, nearly 7,000 big game animals deer, elk, and bear , and about 12 million fish from a [MASK] farm.	0.02625171
FN	794884	fund	found	He left instructions in his will that his money should [MASK] the Nobel Prize.	0.07028427
FN	233806	many	most	The Armenians and [MASK] scholars who say that the genocide did happen say that 1.5 million Armenians were killed by the Ottoman government.	0.00535151
FN	642121	duck	dick	Especially in Asia, many people like to eat [MASK].	0.00030435
TP	657934	dick	duck	Especially in Asia, many people like to eat [MASK].	0.00030435
TP	514088	hunt	eat	Some are smaller than a coin and some are so big they [MASK] small birds.	0.00466089
FN	302615	own	use	Many people go to see Mackinac Island in the summer because the island passed a local law that says that no one can [MASK] a car on the island.	0.01257510
TP	937722	stars	starts	After that it [MASK] to tumble and drop.	0.02066190
TP	1002353	easy	east	The [MASK] mainly spoke the Greek language.	0.00001794
FN	1030282	money	honey	People who had bad things happen to them or who have lots of [MASK] are more likely to get the disease too.	0.15104122
TP	1150628	honey	money	People who had bad things happen to them or who have lots of [MASK] are more likely to get the disease too.	0.15104122
TP	502090	park	part	The electrode is made of the same kind of metal that is being welded, and melts into the weld and becomes [MASK] of it.	0.94527952
FN	1109051	saxophone	saxophonist	Charlie Parker born August 29, 1920 in Kansas City, Missouri , also known as Bird or Yardbird , is considered one of the greatest jazz saxophonists, specifically alto [MASK].	0.42688832
TP	333224	spit	split	Primates are [MASK] into two groups simians and prosimians.	0.05290393
