result	index	org_token	org_suggestion	masked_sentence	diff_certainty
FN	55061773	vergeben	verliehen	Mit Beschluss des Staatsrates der DDR vom 25. März 1982 wurde zudem der Dienstgrad des Flottenadmiral, äquivalent zum Armeegeneral, geschaffen, jedoch nie [MASK].	0.03181755
FN	17697990	Sekunden	Stunden	Das ohnehin knappe Treibstoffbudget der Landefähre wurde durch die zusätzlichen Manöver so strapaziert, dass noch Treibstoff für schätzungsweise dreißig [MASK] Flugzeit in den Tanks verblieb.	0.00702112
FN	18157445	Stunden	Sekunden	Das ohnehin knappe Treibstoffbudget der Landefähre wurde durch die zusätzlichen Manöver so strapaziert, dass noch Treibstoff für schätzungsweise dreißig [MASK] Flugzeit in den Tanks verblieb.	0.00702112
TP	14229212	erhalten	enthalten	Ebenso beliebt sind die kartoffeln Sieglinde auch Magarethen genannt, sie wachsen direkt am Strand und [MASK] viele Mineralien vom Meer.	0.41685713
TP	30929844	erhalten	gehalten	Sie wurden zunächst für einen Zweig des Kuschitischen [MASK], inzwischen ist die von Harold Fleming begründete Abgliederung weitestgehend anerkannt.	0.03962070
TP	20305674	gabe	gab	in der Stadt Benguela [MASK] es seinerzeit sogar eine deutsche Schule.	0.34886533
TP	51767464	westlich	wesentlich	Viele HFA-Autisten sind deshalb als Erwachsene nicht von Asperger-Autisten zu unterscheiden, meistens bleiben jedoch die autistischen Symptome [MASK] deutlicher ausgeprägt als beim Asperger-Syndrom.	0.02671698
TP	56777126	heraus	hinaus	Die Entwicklung der Lautsprache erfolgt oft über eine lange Phase der Echolalie, manche der betroffenen Personen kommen über diese Phase nicht [MASK].	0.04614450
TP	43938169	Projekt	Project	Das Vorhaben besitzt den Namen Asian Highway [MASK].	0.05738025
FN	36479528	Napoleon	Napoléon	Die beiden Fürstentümer Hohenzollern-Sigmaringen und Hohenzollern-Hechingen überlebten aufgrund besonderer Beziehungen zu [MASK] die Mediatisierung.	0.00184012
FN	9734004	system	systems	Betriebssystem heißt auf Englisch operating [MASK].	0.87182764
TP	9904672	systems	system	Betriebssystem heißt auf Englisch operating [MASK].	0.87182764
FN	19589113	auf	zu	In den USA änderte er die Schreibweise dann [MASK] „Billy“.Im Jahr 1916, mitten im Ersten Weltkrieg, zog die Familie aus Angst vor der herannahenden russischen Armee nach Wien.	0.49875703
TP	462086	har	hat	In hochreinem Zustand [MASK] es eine goldgelbe Farbe, sonst ist es silberweiß.	0.23049189
FN	2530078	aus	auf	Pflanzen nehmen Barium [MASK] dem Boden aus und reichern es an.	0.13055572
TP	4175121	Land	Raum	Aber er ist auf jeden Fall der größte See im deutschsprachigen [MASK] eben ein Gemeinschaftssee.	0.41409380
FN	37195050	dar	da	Durch die Flughafen bedingte Verlegung der Ochtum stellt der Flusslauf das wichtigste Element im Park [MASK].	0.87999066
TP	51816854	Jänner	Januar	Nach dem Verbot von Batsauna wurde durch die Suspendierung von ANV und EHAK im [MASK] bzw.Februar 2008 eine Teilnahme an den spanischen Parlamentswahlen am 9. März 2008 unterbunden.	0.25741876
TP	4435067	Teile	Teilen	Anderen [MASK] der Bibel wird hingegen relativ hohe geschichtliche Zuverlässigkeit zugeschrieben.	0.18355993
TP	12691721	Stunden	Stunde	Sommerzeit vom letzten Sonntag im März bis zum letzten Sonntag im Oktober, GMT + eine [MASK].	0.02173071
FN	4407369	ein	vor	Andererseits schreibt Artikel 65 des Grundgesetzes auch das Ressortprinzip und das Kollegialprinzip [MASK].	0.23965104
FN	44830509	Beginn	Begin	Alkali-Mangan-Batterien enthalten seit [MASK] der 1990er Jahre kein Quecksilber mehr.	0.19311172
FN	2108149	Besetzung	Besatzung	Mit der bulgarischen Wiedergeburt nach dem Ende der türkischen [MASK] entstanden überall im Land neue Kunstschulen.	0.00628731
FN	24982261	fällt	fiel	Nach der Niederlage des Herres von Samuil Bulgarien 1014 und Iwan Wladislaws im Jahr 1018 [MASK] Bulgarien unter Byzantinischer Fremdherrschaft.	0.00355107
FN	53838208	Südwesten	Westen	Auf der linken Flussseite sind die dominierenden Erhebungen Venusberg und Kreuzberg, nach [MASK] steigt das Stadtgebiet zum Vorgebirge hin an.	0.06587216
FN	53838439	Westen	Südwesten	Auf der linken Flussseite sind die dominierenden Erhebungen Venusberg und Kreuzberg, nach [MASK] steigt das Stadtgebiet zum Vorgebirge hin an.	0.06587216
TP	17500842	Espanyol	Español	Die beiden mit Abstand wichtigsten Parteien im Parlament der Baleren sind der Partit Popular PP und der Partit Socialista [MASK]	0.00000095
TP	202034	sit	ist	Worin sich ein Gasriese und ein Braunem Zwerg genau unterscheiden [MASK] unter Wissenschaftlern noch umstritten.	0.68152727
TP	1057848	führen	führt	Diese ist für längeres Bremsen hilfreich, [MASK] aber nicht zum Stillstand.	0.44747006
FN	16265127	Feld	Fidel	Diese erzeugen ihrerseits ein Magnetfeld, das dem erzeugenden [MASK] entgegenwirkt.	0.04705176
FN	23038073	hat	siet	„Erwachen“, auch „Erleuchtung“ erfahren [MASK].	0.00006323
FN	48747185	war	trat	1164 [MASK] Bologna in den Lombardenbund gegen Friedrich I.Barbarossa eingetreten, 1256 verkündete die Stadt die Legge del Paradiso Paradiesgesetz , das Leibherrschaft und Sklaverei abschaffte und die verbleibenden Sklaven mit öffentlichem Geld freikaufte.	0.77035495
TP	18462434	klar	knapp	In Westdeutschland liegen CDU/CSU mit 40,8 % [MASK] vor der SPD mit 38,3 %.In Ostdeutschland hingegen liegt die SPD um 11,5 % vor der CDU und gewinnt damit die Wahl.	0.00476655
TP	8993535	Stellen	Stelle	vollassoziativ fully associative Hier kann sich ein Block an jeder beliebigen [MASK] befinden.	0.70610672
TP	60483276	wird	wirkt	Biologische Bedeutung Elementares Chlor [MASK] oxidierend und kann mit pflanzlichem und tierischem Gewebe reagieren.	0.07348154
TP	6122597	umgebaut	ausgebaut	Zusätzlich wurde die Veste Coburg zur Festung [MASK].	0.07691962
TP	6249926	français	française	Von London aus formierte und dirigierte de Gaulle zunächst die „force [MASK] libre“	0.01109832
FN	9422238	um	ein	Das CFLN nahm im Juni 1944 den Namen Gouvernement provisoire de la République Française GPRF an und zog im September 1944 in das befreite Paris [MASK].	0.18921134
FN	46246486	Somme	Sommer	Frankreich setzte als erste der kriegführenden Nationen an der [MASK] am 22.Februar 1916 Phosgen COCl2 in Reinform ein, nachdem Deutschland es bereits am 31. Mai 1915 als 5%ige Beimengung zum Chlorgas verwendet hatte.	0.01768833
TP	46454650	Sommer	Somme	Frankreich setzte als erste der kriegführenden Nationen an der [MASK] am 22.Februar 1916 Phosgen COCl2 in Reinform ein, nachdem Deutschland es bereits am 31. Mai 1915 als 5%ige Beimengung zum Chlorgas verwendet hatte.	0.01768833
FN	460546	bestehen	entstehen	Dieser Kontakt kann durch die Aufnahme von Vertragsverhandlungen [MASK].	0.01295379
TP	5404814	ab	hat	Ab 1893 verschärfen sich die Grenzprobleme mit Argentinien, nachdem Bolivien einen Teil der Puna de Atacama an Argentinien abgetreten [MASK].	0.00431503
FN	25798760	neues	anderes	Als Jack sechs Jahre alt ist, zieht die Familie in ein [MASK] Haus.	0.12438647
FN	51382642	hat	het	In der deutschen Sprache [MASK] sich jedoch die Bedeutung von „Datum“ im allgemeinem Sprachgebrauch auf „Kalenderdatum“ eingeengt.	0.39099723
FN	7591035	Auflage	Ausgabe	Bisher erschien aber noch keine deutsche [MASK].	0.01774057
TP	11304185	Canale	Canal	In einer Stadtlandschaft zwischen sorgsam staffierten Elbhängen sollte die Elbe als [MASK] Grande fließen.	0.01835680
TP	18754978	erbaut	erzeugt	Städtebaulich wurde damit ein Zusammenspiel von historischer und neuer Architektur [MASK].	0.00631184
TP	8306042	Ecke	Erde	Duergar Die Duergar, auch Dunkelzwerge oder Grauzwerge genannt, sind eine böse Abart der Zwergenrasse, die sich tief unter der [MASK] verstecken und die das Sonnenlicht verabscheuen.	0.52533400
FN	25264008	ab	lat	Der Name dieser Einheit leitet sich von der arabischen bzw. griechischen Bezeichnung für die Samen des Johannisbrotbaums [MASK].	0.84199286
TP	4307931	Besatzung	Besetzung	Diese Vorkommen sind einer der Gründe, warum von den Nachbarn Uganda, Ruanda und Burundi durch [MASK] der östlichen Provinzen der Bürgerkrieg immer wieder aufs Neue angefacht wird.	0.02244697
TP	72767453	Mark	Markt	Vorrangig in den USA brachten Kamerahersteller wie Canon, Nikon, Konica oder Fuji Weiterentwicklungen dieses Modells auf den [MASK].	0.95560028
TP	43042980	halten	erhalten	In der Praxis werden abhängig von den konkreten Formen spezielle Zustandsgrößen wie z. B. kinetische Energie und thermische Energie unterschieden Je nach Art der Zustandsänderung kann die Zustandsform entweder [MASK] bleiben oder sich ändern „Energieformen“	0.55180238
TP	31904798	auf	aus	Am 16. Mai 2007 sprach sich die Europäische Kommission für die Aufnahme von Malta und Zypern in die Eurozone [MASK].	0.71568843
FN	56264402	Essex	Sex	Leben Ernest Rutherford war der Sohn von James Rutherford, einem Bauern aus Perth Schottland und Martha Thompson aus Hornchurch [MASK] .Die	0.00041473
TP	56810478	Sex	Essex	Leben Ernest Rutherford war der Sohn von James Rutherford, einem Bauern aus Perth Schottland und Martha Thompson aus Hornchurch [MASK] .Die	0.00041473
FN	17506419	Regeln	Regel	Goldene [MASK]	0.00012867
FN	12944193	Mai	Juli	Kindheit, Jugend, Studium Ernesto Guevara wurde am 14. [MASK] 1928 als Kind von Celia de la Serna Llosa und Ernesto Guevara Lynch geboren.	0.10801515
FN	13010766	Juli	Mai	Kindheit, Jugend, Studium Ernesto Guevara wurde am 14. [MASK] 1928 als Kind von Celia de la Serna Llosa und Ernesto Guevara Lynch geboren.	0.10801515
FN	28171214	bekannt	bekam	Edinburgh ist für seine Universitäten [MASK].	0.00726365
TP	28237232	bekam	bekannt	Edinburgh ist für seine Universitäten [MASK].	0.00726365
FN	23313456	Theorie	These	Die Gegner der [MASK] sehen den 21.März 325 als Referenzdatum für den Frühlingsanfang keineswegs als widerlegt.	0.00065595
FN	23322939	These	Theorie	Die Gegner der [MASK] sehen den 21.März 325 als Referenzdatum für den Frühlingsanfang keineswegs als widerlegt.	0.00065595
FN	3730312	September	Dezember	E-Plus ist gegenwärtig [MASK] 2004 der drittgrößte Mobilfunkbetreiber Deutschlands.	0.00009849
TP	40710162	Process	Prozess	Der [MASK], Das Schloss und Der Verschollene zahlreiche Erzählungen sowie Briefwechsel mit Felice Bauer und Milena Jesenská.	0.00019135
FN	40993863	Prozess	Process	Der [MASK], Das Schloss und Der Verschollene zahlreiche Erzählungen sowie Briefwechsel mit Felice Bauer und Milena Jesenská.	0.00019135
FN	24742116	Operator	Operation	Häufig werden auch die Begriffe Abbildung und [MASK] für Funktionen verwendet.	0.00543398
TP	17199671	aufgestellt	hergestellt	Mit ihm wurde ab 1933 zwischen Berlin und Hamburg die damals weltweit schnellste Zugverbindung [MASK].	0.04201594
FN	14722088	habe	gabe	Zur damaligen Zeit [MASK] es noch keine Verlängerung und das erste Spiel war ein 1	0.00012637
TP	35551424	Action	Aktion	553 Angeforderte [MASK] nicht angenommen.	0.00033034
TP	560433	war	dar	Gesundheit stellt einen wichtigen persönlichen und gesellschaftlichen Wert [MASK].	0.89861896
FN	27968500	Spielen	Spiele	Auch ist er Opfer der damaligen politischen [MASK] geworden.	0.00050869
TP	39582158	Hand	Hang	Am [MASK] des Schlossberges verläuft die Sporgasse, eine vor allen bei Touristen beliebte Einkaufs- und Cafestraße.	0.02552772
FN	48562799	Januar	Jänner	Ehrenringträger und Ehrenbürger thumb upright Schwarzenegger im [MASK] 2004 Karlheinz Böhm 16.März 1928 in Darmstadt ist ein österreichischer Schauspieler und Gründer der Organisation „Menschen für Menschen“	0.00830862
TP	55245629	genannte	sogenannte	Die bekannteste dieser Konferenzen fand 1997 im japanischen Kyōto statt und brachte als Ergebnis das [MASK] Kyōto-Protokoll hervor.	0.20489217
FN	5072189	Stadium	Stadion	Dieses [MASK] wird auch für kulturelle Veranstaltungen genutzt.	0.00242941
FN	27443687	Gas	Glas	In der Schmelze wird Kohlensäure frei und löst sich als [MASK] aus dem Glas.	0.01213841
FN	27502267	Glas	Gas	In der Schmelze wird Kohlensäure frei und löst sich als [MASK] aus dem Glas.	0.01213841
FN	17959762	Apr	Mai	-- Frente 21 49, 12. [MASK] 2006	0.00264402
TP	68048225	Spiele	Spieler	Erhielt 1978 als erster westlicher [MASK] ein japanisches Profi-Diplom.	0.00275145
TP	329075	führen	führten	Auch sie [MASK] keine Beweise, besaßen aber größere Kenntnisse als die Ägypter.	0.02573339
FN	808293	verde	verte	In Frankreich gibt es sie als sauce [MASK] , in Italien als salsa verde , jedoch mit anderen Kräutern als in Frankfurt üblich.	0.62679097
TP	398241	Staat	Stadt	Vom historischen Gilgamesh ist nicht viel bekannt, außer dass er die Unabhängigkeit Uruks vervollständigte und die [MASK] mit Mauern versehen hat.	0.29498006
FN	41952780	fällt	fallen	In der allgemeinen Relativitätstheorie ist hingegen jede Form von Energie Quelle eines solchen Feldes darunter [MASK] auch Licht und Gravitation.	0.00001565
FN	3923741	Napoléon	Napoleon	Eine Erhebung 1809 in Tirol durch Andreas Hofer wurde durch [MASK] niedergeschlagen.	0.01175029
FN	24437209	Text	Texten	Der erste IBM PC kam 1981 mit einer Karte auf den Markt, die lediglich die einfarbige Darstellung von [MASK] ermöglichte MDA Monochrome	0.00016943
FN	24447148	Texten	Text	Der erste IBM PC kam 1981 mit einer Karte auf den Markt, die lediglich die einfarbige Darstellung von [MASK] ermöglichte MDA Monochrome	0.00016943
TP	529239	Communication	Communications	GSM Abk. für Global System for Mobile [MASK] , engl, vorher Group Special Mobile , frz.Bezeichnung eines Mobilfunk-Standards, hauptsächlich für Telefonie.	0.16917595
TP	41329701	Teilen	Teile	Während die Frucht einer Pflanze als Obst bezeichnet wird, bezeichnet man als Gemüse die restlichen [MASK] der Pflanze, wie Wurzel, Blatt und Stängel.	0.26324949
FN	40991908	Oper	Opfer	Kunstsinnige Hamburger Bürger setzten sich seinerzeit für eine „[MASK] für Jedermann“ in Hamburg ein.	0.00288596
FN	47311638	November	Dezember	km² 15. Einwohner 1.770.291 30. [MASK] 2007 http //www.statistik-nord.de/index.php?	0.02158809
TP	67839	File	Filme	Der Kernpunkt ist, dass man mit elektronischer Hilfe den Verweisen leicht folgen kann und dass Bücher und [MASK] aus einer Bibliothek angezeigt werden.	0.00289317
FN	44921717	wird	will	Im April 2008 bestätigte Kohls Büro, dass der ehemalige Bundeskanzler seine Lebensgefährtin Maike Richter im Laufe des Jahres heiraten [MASK].	0.02230909
FN	52863816	Himmler	Himmel	thumb Heinrich [MASK] auf einer falschen britischen Kriegspropagandabriefmarke Heinrich Luitpold Himmler 7.Oktober 1900 in München;	0.95419985
FN	52935996	Himmel	Himmler	thumb Heinrich Himmler auf einer falschen britischen Kriegspropagandabriefmarke Heinrich Luitpold [MASK] 7.Oktober 1900 in München;	0.00000158
TP	2534261	vor	auf	Heroin taucht auf dem illegalen Markt in Konzentrationen von etwa 10 bis 15 % Base [MASK].	0.00161642
TP	28437526	Vereinigte	Vereinigten	Vor allem organisiert Calvin eine systematische Mission, die auf den Adel in Frankreich und den wallonischen Teilen der [MASK] Niederlande abzielt.	0.09263107
FN	26370843	ab	ein	Zum Schluss reibt man sich Hände und Unterarme mit dem Desinfektionsmittel 3min [MASK].	0.00007128
FN	49472607	March	März	270, no. 5, p. 155-170, [MASK], 1888.Hertz, H.R. Ueber die Ausbreitungsgeschwindigkeit der electrodynamischen Wirkungen , Annalen der Physik, vol.	0.01638132
FN	6183250	Herz	Haus	Die eigene zur Faust geschlossene Hand stellt das [MASK] dar.	0.00277822
FN	6183302	Haus	Herz	Die eigene zur Faust geschlossene Hand stellt das [MASK] dar.	0.00277822
FN	11603025	nehmen	nemen	Das Herz produziert in seinen Vorhöfen auch dehnungsabhängig ein harntreibendes Hormon, das atriale natriuretische Peptid ANP , um Einfluss auf das zirkulierende Blutvolumen zu [MASK].	0.28052511
TP	11606886	nemen	nehmen	Das Herz produziert in seinen Vorhöfen auch dehnungsabhängig ein harntreibendes Hormon, das atriale natriuretische Peptid ANP , um Einfluss auf das zirkulierende Blutvolumen zu [MASK].	0.28052511
TP	71484147	vor	hervor	Hierbei sticht insbesondere die Verleihung der neunten Kurwürde an Ernst August von Hannover 1692 [MASK].	0.20359795
FN	69050433	umbenannt	benannt	Κωνσταντινούπολις – Konstantinoupolis, „Stadt des Constantin“ [MASK].	0.00000128
FN	73906532	benannt	umbenannt	Κωνσταντινούπολις – Konstantinoupolis, „Stadt des Constantin“ [MASK].	0.00000128
FN	5699909	Länder	Lager	Zwischen 1916 und 1918 veröffentlichte das IKRK mehrere Ansichtskarten mit Motiven der von seinen Delegierten besuchten [MASK].	0.02094834
TP	48321608	Bericht	Bereich	Neben dem Beratungszweig finden hauptsächlich in diesem [MASK] die zahlreichen Dienstangebote ihr Zuhause.	0.22093891
FN	23293476	fiel	fällt	Das alte Mesopotamien [MASK] 539 v.Chr. bei der Unterwerfung Babyloniens an das aufstrebende Perserreich unter Kyros.	0.41893765
TP	11069627	volgende	folgende	Die Induktion kann also in [MASK] Stadien unterteilt werden Induktionsanfang Induktionsvoraussetzung	0.45393565
TP	34852783	Modell	Model	Sie arbeitete zunächst als [MASK].	0.02039760
FN	2912032	Kaufmann	Kaufman	Er durchlebte hier förmlich ein zweites Mal das Leben von [MASK] und verschmolz völlig mit der Rolle.	0.00015404
TP	5919128	bekommen	gekommen	1795 begann seine Freundschaft mit Schiller, der erst als Historieprofessor nach Jena [MASK] ist.	0.69744634
FN	8333185	Homer	Homo	Schon früh interessierte er sich für die Literatur, wobei er sein Augenmerk zunächst auf Friedrich Gottlieb Klopstock und [MASK] richtete.	0.00030854
TP	8409294	Homo	Homer	Schon früh interessierte er sich für die Literatur, wobei er sein Augenmerk zunächst auf Friedrich Gottlieb Klopstock und [MASK] richtete.	0.00030854
TP	9469387	Mode	Monde	Der Hauptring Main Ring zum Beispiel besteht aus dem Staub der [MASK] Adrastea und Metis.	0.00014990
FN	24108982	Januar	Jaguar	Der [MASK] v. lat. ianua „Tür, Zugang“ ist der erste Monat des Jahres im Gregorianischen Kalender.	0.00005185
TP	24450019	Jaguar	Januar	Der [MASK] v. lat. ianua „Tür, Zugang“ ist der erste Monat des Jahres im Gregorianischen Kalender.	0.00005185
FN	70310017	Aufl	Auflage	4. aktualisierte [MASK].	0.06538365
TP	21088139	Energie	Energy	Bekannte Jeansmarken sind u.a. Levi s, Mustang, MAC Jeans, Meltin Pot, Miss Sixty, Wrangler, Lee, Mavi Jeans, Diesel, G-Star, [MASK], EDWIN heute Blue One und Replay.	0.00015678
FN	16084959	Sonne	Mond	Johannes Kepler wohnte von 1579 bis 1584 mit seinen Eltern in Ellmendingen, wo sein Vater das Gasthaus „[MASK]“ gepachtet hatte.	0.00024810
FN	16112862	Mond	Sonne	Johannes Kepler wohnte von 1579 bis 1584 mit seinen Eltern in Ellmendingen, wo sein Vater das Gasthaus „[MASK]“ gepachtet hatte.	0.00024810
FN	40277681	Dezember	December	27. [MASK] 1571 in Weil der Stadt;	0.02993963
FN	10777367	auf	an	Im Juli und August 1952 nahm Dean aus Geldnot einen Job als Regieassistent bei NBC [MASK].	0.16529858
TP	3808065	Academie	Académie	Und so wurde dessen nächste Oper Armide nicht am Hof, sondern in der Pariser [MASK] royale uraufgeführt.	0.22483487
FN	9139539	Stadion	Station	Auf seiner Reise von Malta machte Roger de Lorraine, Chevalier de Guise, im Februar 1646 [MASK] in Florenz.	0.00000006
FN	24903741	Eltern	Vater	Daher betrachteten Gödels [MASK] die Beziehung als Mesalliance, und die beiden hielten zunächst die Beziehung geheim und heirateten erst 1938 nach dem Tod von Gödels Eltern.	0.89223405
FN	18764305	Cardinal	Kardinal	Zur artenreichen und gesangsstarken Vogelwelt zählen der [MASK], der Waldsänger, der Baltimore-Pirol und die Spott-Drossel.	0.00001091
FN	18840142	Kardinal	Cardinal	Zur artenreichen und gesangsstarken Vogelwelt zählen der [MASK], der Waldsänger, der Baltimore-Pirol und die Spott-Drossel.	0.00001091
FN	13129506	Staaten	Staten	Bedingt durch den Hauptstadtcharakter, sind in Kopenhagen die Botschaften und Emissäre von 187 [MASK] vertreten.	0.02878280
TP	22170525	Falls	Falle	Der eine ist ein öffentlicher Schlüssel, der im [MASK] eines Verschlüsselungsverfahrens zum Verschlüsseln von Nachrichten für den Schlüsselinhaber benutzt wird.	0.00963261
TP	56860836	Doktor	Doctor	May 2006 Ehrendoktorwürde der University of Tokyo, Ehrendoktorat 18. Mai 2006 Orden vom Niederländischen Löwen, Knight Grand Cross 2006 Doktorwürde der Georgetown University, [MASK] of Humane Letters 30.Oktober 2006 Max Schmidheiny Foundation Freedom	0.90444220
TP	22328455	od	bzw	Das kyrillische Alphabet auch Asbuka [MASK].	0.05772302
TP	20400266	fest	fort	Diese Bearbeitungen setzten sich in anderer Form auch in der Nachkriegszeit [MASK].	0.50869035
FN	74108800	ein	fest	Von 1870 bis 1874 saß er im Zuchthaus Waldheim [MASK].	0.00241125
TP	74184193	fest	ein	Von 1870 bis 1874 saß er im Zuchthaus Waldheim [MASK].	0.00241125
FN	14216225	Stadt	Altstadt	Das größte Straßenfest in der [MASK] ist die Thäler Kerb.	0.17172397
FN	389749	annum	anno	Diese Zinsen werden für gewöhnlich als Prozent per [MASK] % p.a. angegeben.	0.00000018
FN	5100544	anno	annum	Diese Zinsen werden im Regelfall als Jahreszins und in Prozent per [MASK] % p.a. angegeben.	0.00000050
FN	53574983	Funk	Fuck	Pertyoideae Panero & [MASK]	0.00004170
TP	54053191	Fuck	Funk	Pertyoideae Panero & [MASK]	0.00004170
FN	655422	Werke	Texte	Literatur lateinisch Buchstabenschrift, Sprachkunst umfasst die Gesamtheit schriftlich oder mündlich überlieferter menschlicher [MASK].	0.05986382
FN	51935621	gab	gabe	Jugend in New Orleans Louis Armstrong selbst [MASK] stets den 4.Juli, also den Unabhängigkeitstag der USA, des Jahres 1900 als sein Geburtsdatum an.	0.00983960
TP	42116395	Model	Modell	Im [MASK] würde ein Lichtstrahl von der Erde, in ca. 1,2 Sekunden den Mond erreichen.	0.00070385
TP	8900203	National	Natural	Nahe befinden sich das Science Museum London und die Museen für Geologie und Naturgeschichte auch Naturhistorisches Museum [MASK] History Museum	0.73497818
FN	31165364	Evolution	Revolution	[MASK]	0.00000566
FN	32506946	Revolution	Evolution	[MASK]	0.00000566
TP	35242410	Reine	Reihe	Landschaftsplanung kann man in Deutschland an einer [MASK] von Universitäten Diplom, Bachelor, Master und Fachhochschulen studieren.	0.13567684
FN	5642841	Theater	Theatre	Royale [MASK], Broadway, New York	0.03268532
TP	10942081	Station	Stadion	Unbreakable Hier spielt er den vermeintlichen Drogendealer der im [MASK] gestellt wird.	0.00012432
TP	53178085	Regio	Regie	Von 2007-2008 produzierte er die Zeichentrickserie Spaceballs The Animated Series mit und führte bei einigen Episoden [MASK].	0.49826470
TP	1709369	Architekten	Architektur	Das Wort Modell entstand im Italien der Renaissance modello, hervorgegangen aus modulo, dem Maßstab in der [MASK] und gehörte bis ins 18.Jahrhundert der Fachsprache der bildenden Künstler an.	0.00387074
FN	4421381	dar	her	AA Bussy stellte es 1831 in massiver Form [MASK].	0.00199619
FN	4421495	her	dar	AA Bussy stellte es 1831 in massiver Form [MASK].	0.00199619
FN	3521878	Arbeit	Arbeiten	Siegel der Hände, mit der Enthaltung jeglicher [MASK].	0.00489632
TP	3198901	findes	findet	Eine hervorragende Bibliographie [MASK] sich hier erstellt vom Historischen Seminar der Uni.	0.09958576
FN	33718449	Test	Text	echo parameter Befehl, der eine Meldung ausgibt, z. &nbsp;B. echo [MASK].	0.00001051
TP	14206412	weißen	weisen	Die Einteilung soll daher lediglich die Richtung [MASK], nicht aber exakte Auskünfte über die Therapie geben.	0.00018231
