confusion_set	target	suggestion	rating	sentence
Except,accept,except	except	accept	1	I would be grateful to [MASK] this prize .  
Form,From,form,from	form	from	1	I hope you will consider this proposition and I am looking forward to hearing [MASK] you .  
Form,From,form,from	form	from	0	It is difficult to see any enjoyment in shopping : facing the crowd , having to withstand the rude clerks and shop managers , trying desperately to choose the right thing - these burdens [MASK] the dark side of shopping .  
Hole,Whole,hole,whole	hole	whole	1	The things that really dissapointed me were that you said Danny Brook and Tina Truelove were suposed to be the actors but they were n't , different actors played and to be honest they made the [MASK] show very bad .  
Hole,Whole,hole,whole	hole	whole	1	It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the [MASK] house is warm due to central heating .  
Hole,Whole,hole,whole	hole	whole	1	I had spent the [MASK] last week in London with one of my colleagues .  
Hole,Whole,hole,whole	hole	whole	1	We were too young to stay a [MASK] weekend alone .  
Hole,Whole,hole,whole	hole	whole	1	I believe that some ather actors mabe made the [MASK] store to be more interesting .  
Hole,Whole,hole,whole	hole	whole	1	Seen my [MASK] life I can say the moden technology has changed my daily life in many ways .  
Hole,Whole,hole,whole	hole	whole	1	I was a little more portient so I stayed to watch the [MASK] show , which by the way was the worst I had ever seen .  
Hole,Whole,hole,whole	hole	whole	1	Unfortunately , Pat was n't very good at keeping secrets and so his [MASK] schoole knew from Sara 's experience .  
Hole,Whole,hole,whole	hole	whole	1	I met lots of nice and cool people , and what I most enjoyed was the crazy atmospher of the [MASK] thing .  
Hole,Whole,hole,whole	hole	whole	1	Now I 'm very happy because I learned that friends are the most important thing in the [MASK] world .  
Hole,Whole,hole,whole	hole	whole	1	and so I was laying down the [MASK] weekend .  
Hole,Whole,hole,whole	hole	whole	1	After reading the [MASK] organized programme , we all agreed about the sightseeing by bus around London wich will give us the knowledge about this fantastic city we all want to meet since time ago .  
Lead,Led,lead,led	led	lead	1	"On the other hand , the excess of comodity can [MASK] us , in the future , to a completely "" cold "" world , because of the distance between people that can be caused .  "
Life,Live,life,live	live	life	1	Science and technology can give us a better [MASK] style or better food .  
Life,Live,life,live	live	life	1	Internet brought a new way to my [MASK] since I started to use it .  
Life,Live,life,live	live	life	1	"Obviously , there is no point in saying "" famous people have a right to their own [MASK] ."
Life,Live,life,live	Live	Life	1	[MASK] is too short to think about the poscesives .  
Life,Live,life,live	live	life	1	The houses will change because of new technologe , what may make our [MASK] more comfortable .  
Life,Live,life,live	live	life	1	I retired four years ago and my [MASK] is very bored .  
Life,Live,life,live	live	life	1	I was very happy that I managed to save the [MASK] of the boy .  
Life,Live,life,live	live	life	1	You should ignore the dangerous if you convince you can save somebody his [MASK] .  
Life,Live,life,live	live	life	1	The [MASK] is more comfortable with all the new machines you can use at home , at the office or it is helful to live with all the new medical machines in the hospitals .  
Life,Live,life,live	life	live	1	I could n't [MASK] without modern music .  
Life,Live,life,live	live	life	1	The old man is a sad person but he loves his [MASK] and lives on the beach because he ca n't stay without see the sea for a day .  
Life,Live,life,live	live	life	1	It 's difficult for us to realize the changes in our [MASK] , but we can think about it .  
Life,Live,life,live	live	life	1	I told them you are full of [MASK] and they are yours favourite polish group .  
Life,Live,life,live	live	life	1	How expensive the [MASK] is there ?  
Life,Live,life,live	live	life	0	He had problems at home because his mother wanted to settle down to Australia , but Peter was used to [MASK] in New York , overcrowded and surronded by people .  
Life,Live,life,live	live	life	0	Also I prefer the Camp California because I have just finish my military service and I got use to [MASK] in the campus .  
Life,Live,life,live	live	life	1	Despite his way of [MASK] , his best friend was Anna , the most popular girl in the school .  
Life,Live,life,live	live	life	1	She explained everything what happened in her [MASK] to Pat .  
Life,Live,life,live	live	life	1	When Pat was 16 , he decided to change his way of [MASK] , spending more time with friends , but what he could do to have some friends ?  
Life,Live,life,live	life	live	1	Nowadays , there is a lot of people that [MASK] only with the money they get in advertisments , reports about their last romance , ... but not everyone does the same .  
Life,Live,life,live	live	life	1	I had the best expreience in my [MASK] .  
Life,Live,life,live	live	life	1	Internet is a good way of meeting people that are far from us , we can also inform ourselves on what happens in [MASK] , or search for special leisure with a quick result .  
loose,lose	loose	lose	1	I sometimes [MASK] my desire to buy a thing because of their badly behaviers .  
loose,lose	loose	lose	1	Now , I [MASK] less of time and can use the technology to enjoy myself .  
loose,lose	loose	lose	1	So did he finally win or [MASK] ?  
loose,lose	loose	lose	1	Yes , but we must n't [MASK] the values and our free time to stay with our family .  
loose,lose	loose	lose	1	I can say it with confidence that I am quite good at basketball - I play it for my school 's team and I am going to train it in August as well - I do n't want to [MASK] touch with it .  
loose,lose	loose	lose	1	Consequently I ask you for some money back seeing that I think : it 's not worth the bother to [MASK] money for such a show.
Mad,Made,mad,made	made	mad	1	She did n't want to tell the teachers at school or any other person because she was afraid that if her stepfather find out about that , he would get [MASK] and hit her , or even worse , kill her mother .  
Mad,Made,mad,made	made	mad	1	I am really [MASK] and I want my money back , please call me to the number 23456789 , I will be waiting your call .  
Mad,Made,mad,made	mad	made	1	And that [MASK] the concert absolutely perfect .  
Past,passed,past	passed	past	0	Because human high wo n't change so much , unless 10000 years [MASK] .  
Peace,Piece,peace,piece	peace	piece	1	I was holding a [MASK] of paper which my mum gave to me .  
Peace,Piece,peace,piece	piece	peace	1	It is bad for the world 's [MASK] .  
Plain,plain,plane	plain	plane	1	The following Sunday I fint my self on a [MASK] flying 20000ft from the ground .  
Quiet,Quite,quiet,quite	quiet	quite	1	I am [MASK] sure , even the ones , who have chosen their occupies just to be famous , do n't like to be pictured when they believe they are alone .  
Quiet,Quite,quiet,quite	quite	quiet	1	It 's hard to be extremely [MASK] for five hours
Quiet,Quite,quiet,quite	quiet	quite	1	That might be [MASK] complicated to understand , especially for young people .  
Quiet,Quite,quiet,quite	quiet	quite	1	I 'll choose golf and basketball , golf because I 'm [MASK] good .  
Quiet,Quite,quiet,quite	quiet	quite	1	So in my opinion , modern technology changed my daily routine [MASK] a lot .  
Quiet,Quite,quiet,quite	quiet	quite	1	We had preparred [MASK] a long time ago , this travel to the capital and spared a lot of money as well .  
Quiet,Quite,quiet,quite	quiet	quite	1	It was [MASK] scary for me , but I said to myself , come on you can do it .  
Quiet,Quite,quiet,quite	quite	quiet	1	Firstly , in our classroom you ca n't shout , you must be [MASK] and sat .  
Quiet,Quite,quiet,quite	quite	quiet	1	Can you imagine how exsiting when we stay in the dark and very [MASK] and we can hear a sound of animal .  
Quiet,Quite,quiet,quite	quite	quiet	1	However , this apparently [MASK] and relaxed activitie can sometimes turn into a living hell ; you may only be able to go shopping at the weekend and then , if you do go , you will find yourself in the middle of a huge crowd of people , unable to get to any product or even shop and feeling dizzy by the mixture of smells that come from the people .  
Quiet,Quite,quiet,quite	quite	quiet	1	If it were n't a calm and [MASK] public , we would have had troubles .  
Quiet,Quite,quiet,quite	quiet	quite	1	I 've been practicing this sport since 5 years , so I 'm [MASK] good .  
Quiet,Quite,quiet,quite	quiet	quite	1	In fact , I soon practice tennis and I am [MASK] good at , and it will the occasion to train myself surfing is completely unknown for me and I hope that I will like it .  
Quiet,Quite,quiet,quite	quiet	quite	1	You have to be [MASK] an attention in class if you would n't to be punished .  
Rise,raise,rise	rise	raise	1	Although this project could seem a very though work , I had to try it in order to [MASK] my low global mark .  
Than,Then,than,then	than	then	1	Sarah looked at him for a while , [MASK] she stood in front of the class and explaind to the others , that she won a prize for 20 people to travel for 1 week to the sea of southern France and everybody of the 19 pupils was invited , except Pat who was n't very good at keeping secrets .  
Than,Then,than,then	than	then	1	It starts already in the morning that we wake up by the sound of an alarm clock , [MASK] in the bathroom we have running hot water and also the hole house is warm due to central heating .  
Than,Then,than,then	than	then	1	"During the week we descide where we want to go , we all agree to listen to music so [MASK] we descide to come to your musical show and listen to "" Over the Rainbow "" .  "
Than,Then,than,then	than	then	1	P.S. please would you like to explain why ?  sincinerly from Ki  In order to live happily the sciencetist can easily perdict the changes on earth , so [MASK] we can have time to perpare or defence our self from the Natural diseasters .  
Than,Then,than,then	than	then	1	Secondly , I think it is would be better to stay tents , so [MASK] we can have a nice time at Camp California and find many interesting games to play in .  
Than,Then,than,then	then	than	1	I am not a photographer but my family think that my photos are more [MASK] just good .  
Than,Then,than,then	than	then	1	We were thinking that meaby we can go early to visit the Science Museum and [MASK] go to the Central Exhibition , where the event is going to have place !  
Than,Then,than,then	then	than	1	In conclusion , I think that modern technology get my life more interesting , but I prefer to stay with my friends and with my girlfriend [MASK] in front of a computer !  
Than,Then,than,then	then	than	1	Therefore , it cost me more money [MASK] usual .  
Than,Then,than,then	then	than	1	We now breathe worse air in our lungs , [MASK] our grand-parents breathed .  
Than,Then,than,then	than	then	0	Another thing that I appreciate a lot is the electric guitar ; I like very much play guitar , and in my free time I prefer play electric , [MASK] acoustic or classic guitar using distortion and gain and the highest volume possible .  
Than,Then,than,then	then	than	1	And last but not least I recognised after the show that your theatre restaurant was closed because waiters did n't come ...  I do n't know it is a typical situation in the Circle Theatrer that is promised much more [MASK] the people can get for their money , or it was on June 7 ( my visit ) only , but I am not agree with such situation and would ask you for my money back - my bank account number is enclosed .  
Than,Then,than,then	then	than	1	We were thinking is so many other activites to relax and enjoy ourself [MASK] sunbathing on the beach .  
Than,Then,than,then	then	than	1	"It is convinient , I mean "" double "" lessons because you have more time to understand matherial what is givven and because you have to prepare only four subjects for "" tomorrow "" and it is less [MASK] seven subjects .  "
Than,Then,than,then	Than	Then	1	[MASK] I was told to stay in front of the entrance door and check the tickets .  
Than,Then,than,then	then	than	1	and it is more enjoyable to live in a tent [MASK] in cabins .  
Than,Then,than,then	then	than	1	In basketball I have more practise [MASK] in tennis .  
Than,Then,than,then	then	than	1	The show started late [MASK] I expected .  
Than,Then,than,then	than	then	1	"Yeah fokes , that was the point I got interupted by my parents in this beautiful dream , but when you will hear the end of my story [MASK] buy the "" Rossall-School-magazin "" , net time again , and you will hear the end of this unbelievable story .  "
Than,Then,than,then	then	than	1	But then you are at the university you need money more , [MASK] anybody else want .  
Than,Then,than,then	then	than	1	Computer it is our way of with outside world comunicat , wheres with airplanes we can rich our parents , friends easily and much faster , [MASK] if we would use bouts or trains .  
Than,Then,than,then	then	than	1	Same thing more [MASK] 100 years ego the people have n't got the light .  
Than,Then,than,then	then	than	1	Evrything what we do now we do with : it help , looking after house , make very difficult operation , becose the computer can think much faster [MASK] human .  
Than,Then,than,then	than	then	1	When I wake up I take a shower using eletricity then I prepare my breakfast in the oven then I go to school by bus , when I arrive at home I put my lunch in the microwave [MASK] I watch t.v.
Than,Then,than,then	then	than	1	As for accomodation I would prefer log cabins , because I belive they are more comfortable [MASK] tents .  
Than,Then,than,then	then	than	1	It 's believed that English schools look different and have different rules [MASK] Polish schools but may be we might find sth incomon ? !  
Than,Then,than,then	then	than	1	Can i say more [MASK] two weeks if i like it ?  How much money i should take there ?  
Than,Then,than,then	then	than	1	If I had a choice , I would prefer to live in tent [MASK] in a log cabin .  
Than,Then,than,then	than	then	1	It was very hurt , my friend rushed to me [MASK] ran back to my house and called Mom .  
Their,There,They,their,there,they	their	there	1	so I had an argument with the people Who worked [MASK]
Their,There,They,their,there,they	their	there	1	Also after the show your restaurant was closed because [MASK] was n't enough staff .  
Their,There,They,their,there,they	There	They	0	[MASK] are the natural material on one side whereas on the other side the fashion industry produce more and more syntetical clothes , which relay on the production cost .  
Their,There,They,their,there,they	There	Their	1	[MASK] names were Ivan and Maria .  
Their,There,They,their,there,they	there	their	0	So I would travel on July because I 've got only [MASK] free time .  
Their,There,They,their,there,they	there	they	0	Thankyou for your time and attention  Another bad thing about this school was that [MASK] where different types of students that formed groups .  
Their,There,They,their,there,they	there	they	1	First of all , in the advertisement says that the starring were different actors , and [MASK] were n't different one , so that can not be .  
Their,There,They,their,there,they	they	there	0	As concerned the food , our mothers [MASK] will help about that .  
Their,There,They,their,there,they	they	their	1	Pat , to win her new classemates ' friendship tell all what she knew about her friends and owing to what Pat said , her friends broke [MASK] friendship with Pat because their popularity was damaged .  
Their,There,They,their,there,they	They	There	1	[MASK] were so many pieces that we had spent a whole day to prepare the scene .  
Their,There,They,their,there,they	there	they	1	But you need all the journalists to become famous so the only way is to accept that [MASK] are journalists and that they are just doing their job .  
Their,There,They,their,there,they	they	there	1	In spide that fact there are of course many families especialy in small towns which eat lunch all together and [MASK] they solve their problem all together .  
Their,There,They,their,there,they	their	there	1	To begin with on your advertisment you say that Danny Brooks will be starring the show but instead [MASK] was a different actor which made us very disappointed .  
Their,There,They,their,there,they	their	there	1	Another thing that is written on the advertisment is that the night show will start at 7:30 but instead of that [MASK] was forty five minute delay The crowded got really upset and we were going to leave with the first chanse we had  You can understand how that made me feel , and when the tickets had no discount  It was the worst night of my life .  
Their,There,They,their,there,they	they	there	1	The only reason is I would like to try and I think [MASK] are matching activities , when you climb up the mountain then you can take the photograph of the views .  
Their,There,They,their,there,they	their	there	1	In fact [MASK] would be only one possibility in July because I will end with my exams session at the end of this month and beginn a practical trainning the 1rst of August .  
Their,There,They,their,there,they	they	their	1	Children always ask for something and they want to have all [MASK] toys which they see and that 's not very enjoyable for the parents , because sometimes they spend more money , from the amount of money that they have planned .  
Their,There,They,their,there,they	they	there	0	I think that they have right because , [MASK] are also people like me or like you and they should have private life .  
Their,There,They,their,there,they	they	there	1	What is more [MASK] are the Leisure and sports wear , which we are keen on seeing it .  
Their,There,They,their,there,they	there	their	1	The lardge numbers of the journalists following them all the time , even in [MASK] private life .  
Their,There,They,their,there,they	their	they	1	You can put a few activities ( sports ) like basketball , football , tennis , but only those because [MASK] are very popular and people will have interest on them .  
Their,There,They,their,there,they	their	there	1	"Undoubtedly , [MASK] the first enemies are "" Journalists "" .  "
Their,There,They,their,there,they	they	there	1	Secondly , the time in your advertisement told that it should start 19:30 , but it did not start before 20.15  And then about the tickets , you wrotte that [MASK] were discounts available but they were not .  
Their,There,They,their,there,they	there	their	1	They will bounced on roads with [MASK] balloon clothes .  
Their,There,They,their,there,they	there	they	0	So , people wont have to clean their houses because [MASK] are machine for all works .  
Their,There,They,their,there,they	they	there	1	Well I tried to do so but the lady at the desk told me that [MASK] were quotas available at that price but were already sold out !  
Their,There,They,their,there,they	Their	There	1	[MASK] is two activities .  
Their,There,They,their,there,they	they	there	1	Then , [MASK] were not any discounts available for the tickets as it was written on the advertisement .  
Their,There,They,their,there,they	They	There	1	[MASK] are also the lessons which English and other foreigners are particularlly curious in .  
Their,There,They,their,there,they	they	there	0	I think the people who are enjoying shopping [MASK] are greede for materialistic things and they hav n't interests for spirit ( ? ) , intelect life .  
Their,There,They,their,there,they	there	they	0	Although [MASK] were finished two people , next was me , something was happened .  
Their,There,They,their,there,they	there	their	0	In our class , we do n't have problem with students who dislike to work , because we are all there for the same reasons and nobody wants to say [MASK] years and years .  
Their,There,They,their,there,they	There	Their	1	[MASK] problems were ; Firstly , the famous actors Danny Brook and Tina Truelove were n't there for your musical show , I was unhappy to constat that it was different actors this evening .  
Their,There,They,their,there,they	there	their	1	Some other work what I have done was to lead the people to [MASK] places .  
Their,There,They,their,there,they	there	they	0	Finally I 'd like to ask you some questions , [MASK] are mainly small details .  
Their,There,They,their,there,they	there	their	1	I 'm sure that if you listen to it you will start reading the book immediately , and find out [MASK] many challenges for your new carreer .  
Their,There,They,their,there,they	they	there	1	I do n't understand why [MASK] was a lot of people .  
Their,There,They,their,there,they	they	there	1	On the developpement , they also said that [MASK] will be a discount for students who are between eighteen and twenty-five years old but it was totally wrong because I paid the full price which was £ 20 .  
Their,There,They,their,there,they	they	there	0	Those things can and do make our lifes easier and more comfortable , but the call us away from our friends , our families and more over [MASK] lead us to madness and cut any relantionship with everything that suround us and keep us in life .  
Their,There,They,their,there,they	they	their	1	People have always looked for the most comfortable clothes for [MASK] daily life .  
Them,Theme,them,theme	theme	them	1	Some of them are big and some of [MASK] are small , but they effect our lives in the same way .  
Things,things,thinks	thinks	things	1	But you can be carefull when you speak with him or her that will stolen your [MASK] .  
Things,things,thinks	thinks	things	1	I am replying to your letter for the first prize of the competition , that I won and there are a number of [MASK] I would like to make clear .  
Things,things,thinks	thinks	things	1	That kind of [MASK] should be filmed somehow .  
Things,things,thinks	thinks	things	1	On the other hand I think that geography is important as well because we must all know WHERE we live , what are the problems that we have in this world , what problem does every different country have and where does the petroleum come from and what are the advantages and disadvantages for it and the gold as well , there are loads of [MASK] about geography that we MUST KNOW .  
Things,things,thinks	thinks	things	1	A lot of [MASK] will be easier to do .  
Things,things,thinks	thinks	things	1	But modern technology do a lot of bad [MASK] .  
Things,things,thinks	thinks	things	1	I 've done so many [MASK] and between them I went to Glastonbery ( as you know ) !  
Things,things,thinks	thinks	things	1	Many [MASK] have changed within the last 100 years .  
To,Too,Two,to,too,two	to	too	0	And at the end , my opinion is that one weekend ticket for all events is a great idea , because you do n't have to stay in queues to buy a ticket for a show , you want to go [MASK] .  
To,Too,Two,to,too,two	to	too	1	But all they have done is told me that I am [MASK] young for it
To,Too,Two,to,too,two	two	to	0	Furthermore , you asked me to choise [MASK] activities I would like to do .  
To,Too,Two,to,too,two	to	too	1	After the show I wanted to drink somthing in your theatre restaurant but when I arrived it was closed because the show started [MASK] late !  
To,Too,Two,to,too,two	two	too	1	Furthermore , and for sure it is not your fault , some of the halls for the concerts were too small and that prevented me from enjoying some of the concerts because of the noise but also prevented many people from entering the hall that was often [MASK] crowded .  
To,Too,Two,to,too,two	to	too	1	I wase n't expecting this prize because was [MASK] good to be true .  
To,Too,Two,to,too,two	to	too	1	In conclusion I think that people who are [MASK] much interested in other people life have not an interesting life and are unhappy !  
To,Too,Two,to,too,two	two	too	0	It 's difficult just to try [MASK] but if I have the chance I would like to practice sailing and photography .  
To,Too,Two,to,too,two	to	too	1	By the way , the musical show started at 20:15 , when it had to start at 19:30 : it was n't in late , it was [MASK] much in late .  
To,Too,Two,to,too,two	to	two	1	Answering another of your questions , I am more likely to stay in a log cabin considering that I will be [MASK] weeks in the camp .  
To,Too,Two,to,too,two	to	too	1	First of all , the advertisement I got layed emphasis on Danny Brook 's starring , but eventually , a disappoint unknown actor played his part , and I wonder whether he had real skills [MASK] .  
To,Too,Two,to,too,two	to	too	1	Because every one have different thinking like beverley center if you there every day or every week for a shopping you well get very boring because some time is [MASK] much people every where like in the resturant and shops .  
To,Too,Two,to,too,two	to	too	1	Things and technology changes every day our life , our jobs , our way of face the world , this is what differences both centuries , our grandparents ' changes lasted [MASK] long to change human life .  
To,Too,Two,to,too,two	to	too	1	Forthly that product is too expensive for you and the last problem is you buy [MASK] much things
To,Too,Two,to,too,two	to	two	1	I have [MASK] questions .  
To,Too,Two,to,too,two	too	to	0	For example , put the music [MASK] hight when my syster is working .  
To,Too,Two,to,too,two	to	too	1	Despite I like to go to nice clothes shops I usually return home with nothing in my hands , as prices are usually [MASK] high , unfortunately not affordable for me .  
To,Too,Two,to,too,two	to	too	1	Now , when I consider about the events it 's clear for me that if I got a few minutes later probably would be [MASK] late .  
To,Too,Two,to,too,two	to	too	1	The jazz , rock and classical concerts were really entertaining except that there were some concert halls [MASK] small for the audience : I 'm sure that you can find bigger halls for next year .  
To,Too,Two,to,too,two	to	too	1	but sometimes it 's going a bit [MASK] far .  
To,Too,Two,to,too,two	to	too	1	Eventually I like shopping [MASK] and I beleive every body like shopping , but before you buy something think before you will not have any problems after that and the most important thing is make sure you have enough meney for survive .  
To,Too,Two,to,too,two	to	too	1	And it was [MASK] slow .  
To,Too,Two,to,too,two	too	to	1	and then we want [MASK] know about Fashion and Leisure in your information For Students Free.
To,Too,Two,to,too,two	too	two	1	If not , you can go the Saturdays but badly , there are [MASK] costumers .  
To,Too,Two,to,too,two	to	too	1	The only problem was that the girl was [MASK] shy to speak to him , she wanted to keep her name in secret , and if Pat tells someone something about the letter , she wo n't say who is .  
To,Too,Two,to,too,two	to	two	0	I am hearing [MASK] looking fermards from you .  
To,Too,Two,to,too,two	to	too	1	"My advise for you is : "" Do not put [MASK] much subjects , just put a few subject and make them look interesting ""  My name is German Schmidt"
To,Too,Two,to,too,two	to	too	1	During the concert , all the fans try to get closer to the singers , jumping , shouting and so on and some of them faint when they get [MASK] excited .  
To,Too,Two,to,too,two	to	two	0	While we were installing the sound system we listened irish music and suddenly we saw [MASK] U2 , which is my favourite group , going inside the stadium and they played music for us .  
To,Too,Two,to,too,two	to	too	1	Despite saying it will start at 19:30 , it done at 20:15 which I think is [MASK] much late for a good theatre like yours .  
To,Too,Two,to,too,two	too	two	0	It was pitty that [MASK] small halls were used for classical concerts .  
To,Too,Two,to,too,two	to	too	1	And you have to wait after to buy it , so finally you waited so long that you are getting late , so you get stressed [MASK] .  
To,Too,Two,to,too,two	to	too	1	People have seen in the last 10 years how diferent our clothes had become [MASK] .  
To,Too,Two,to,too,two	to	too	1	I 'm pleased [MASK] that I 've won the first prize at camp california in the U.S.A during two weeks .  
To,Too,Two,to,too,two	to	too	1	The concerts and the dance show were incredable , except for the classical concert that halled [MASK] small .  
To,Too,Two,to,too,two	to	two	0	I suggest you [MASK] try this kind of experience .  
To,Too,Two,to,too,two	to	too	1	That is a sport that I always want to practise but in France it is [MASK] expansive .  
To,Too,Two,to,too,two	to	too	1	In conclusion I would like to say that modern technology is offering to the humanity [MASK] many things , some of them are good and some others are not so good .  
To,Too,Two,to,too,two	too	two	1	Comparing these [MASK] realities the reader can notice that modern technology changed very much our daily life .  
To,Too,Two,to,too,two	two	to	0	About the different activities we like them all , but If I choose [MASK] I take sailing and tennis .  
To,Too,Two,to,too,two	too	to	1	You can give the possibility to the students [MASK] choose between go shopping or go to the show .  
To,Too,Two,to,too,two	to	two	1	I have gone out to the street and I have asked [MASK] people for this question .  
To,Too,Two,to,too,two	too	to	1	As I was spending a week-end in London I took a chance [MASK] see the performance of one of my favourite actors , Danny Brook .  
Weather,Whether,weather,whether	whether	weather	1	I 'm not scared of darkness , rain , cold or hot [MASK] .  
Weather,Whether,weather,whether	weather	whether	1	There are a lot of arguments about the [MASK] this influence is negative or positive .  
Weather,Whether,weather,whether	weather	whether	1	One thing you have not told me is [MASK] I have to pay all things by my own in California or not .  
Weather,Whether,weather,whether	whether	weather	1	We usually went to the beach to have a bath and to enjoy the fantastic [MASK] in that part of Spain during the summer .  
Week,weak,week	weak	week	1	I like to apologise with you , because I did n't wrote to you recently , but I like to tell you what hapend to me in the last [MASK] I had the opportunity to help in one of the most pop concert in my city , so imagen , I fell really really good and exating for that I do n't have words for describe
Week,weak,week	weak	week	1	Sorry for not writing you before , but I have been so busy , because last [MASK] I went to a pop concert to help the singers .  
Week,weak,week	weak	week	1	"Dear Sir or Mam ,  Last [MASK] , I went to London to see the musical "" Over the Rainbow "" .  "
Were,Where,were,where	were	where	1	but there 's one main rule I must tell them [MASK] I go
Were,Where,were,where	where	were	1	Hope you enjoy my experiences  I had everythig planned , I and my family [MASK] coming to whatch your show and then have a decent meal at your theatre restaurant but it was disasterous .  
Were,Where,were,where	where	were	1	That was a dissapointment for my whole family , infact all the viewers [MASK] very dissappointed .  
Were,Where,were,where	where	were	1	Thankyou for your time and attention  Another bad thing about this school was that there [MASK] different types of students that formed groups .  
Were,Where,were,where	where	were	1	Some [MASK] just friend groups but others took it seriously , maby just a bit too seriously , they gave themselves names and acted as gangs rather than just groups of friends , and started picking on younger people , or mempers of other gang , trying to start fights with them .  
Were,Where,were,where	where	were	1	The time had come the who groups had comdined their forces and [MASK] ready to strike .  
Were,Where,were,where	where	were	1	Lots of People wher injured and even more [MASK] suspended the next day at school , when the Headmaster found out what had happened .  
Were,Where,were,where	were	where	1	Hope to hear from you :  Science and Technology is a theme very discussed nowdays , most of the comunity of our city , and of the world , [MASK] technology has arrived , confirms that it has in some way improved their way of life .  
Were,Where,were,where	were	where	1	Now we are in a 20th centure [MASK] people went to the moun and discavered madesons aboute siriale illneses , In that year I live too .  
Were,Where,were,where	where	were	1	Furthermore , I had to make announcements at the loudspeaker for the children who [MASK] lost .  
Were,Where,were,where	were	where	1	I thought you were a good theatre , [MASK] people can go and have a good evening alone or with somebody else , but realy I am very disappointed and I want to ask for my money back .  
Were,Where,were,where	where	were	1	Beside this , we [MASK] invited to visit the theatre restaurant after the show , but it was closed because it was being redecorated .  
Were,Where,were,where	were	where	1	You can comunicate with people from place [MASK] you never can imagine to have a trip because it will be too expensive .  
Were,Where,were,where	were	where	1	After they caught me I think they brought me to the Area 57 , [MASK] the police do experiments .  
Were,Where,were,where	where	were	1	Firstly I found amazing the number of starts and artist who came to the festival although they [MASK] from only six countries around the world .  
Were,Where,were,where	were	where	1	I can go out at night once a week if I tell them [MASK] I 'm going to be .  
Were,Where,were,where	where	were	1	Among all these the theatre restaurant was closed , because the shef and the waiters [MASK] on holiday .  
Which,Witch,which,witch	witch	which	1	With a friend we had seen your advertisement for the show , [MASK] was very attractive .  
Which,Witch,which,witch	witch	which	1	At the began of my work in a Insurance Company , I had only a old writting machine , [MASK] makes a lot of noise and was very difficult to write with it because the switch were hard for my small fingers .  
Which,Witch,which,witch	witch	which	1	Now I have a new computer , [MASK] is very easy to use , and confortable for my fingers also more farrster .  
Which,Witch,which,witch	witch	which	1	When the show started Danny Brook was not acting , [MASK] was a great dissapointment for us both .  
Word,World,word,world	word	world	1	First the conquist of the space , then the computers , and now the new biotecnologies have changed , and are changing , the face of the [MASK] .  
Word,World,word,world	word	world	1	I 'm sure that the people that had decided to meet this [MASK] they did not realised that there is a price to pay .  
Word,World,word,world	world	word	1	"What does means the [MASK] "" shopping "" ?  I live and I need different goods for survive .  "
Word,World,word,world	word	world	1	It should be done show so people can see how people in every corner of the [MASK] make theyr own fun .  
Word,World,word,world	word	world	1	Anyway I am hard working for the [MASK] cup at sailing .  
